¿Preferirías que los alienígenas que hagan el primer contacto sean robóticos u orgánicos?,Would you rather the aliens that make first contact be robotic or organic?
¿Preferirías trabajar muy duro en un trabajo gratificante o apenas tener que trabajar en un trabajo que no es gratificante?,Would you rather work very hard at a rewarding job or hardly have to work at a job that isn’t rewarding?
¿Preferirías tener un sistema de justicia penal que realmente funcione y sea justo o una rama administrativa libre de corrupción?,Would you rather have a criminal justice system that actually works and is fair or an administrative branch that is free of corruption?
¿Preferirías tener un poder político real pero ser relativamente pobre o ser ridículamente rico y no tener poder político?,Would you rather have real political power but be relatively poor or be ridiculously rich and have no political power?
¿Preferirías tener el poder de dar un suave empujón a las decisiones de cualquiera o tener un control total de cinco personas?,Would you rather have the power to gently nudge anyone’s decisions or have complete puppet master control of five people?
¿Preferirías vivir en una utopía como una persona normal o en una distopía pero siendo tú el gobernante supremo?,Would you rather live in a utopia as a normal person or in a dystopia but you are the supreme ruler?
¿Preferirías delatar a tu mejor amigo por un delito que haya cometido o ir a la cárcel por el delito que haya cometido?,Would you rather snitch on your best friend for a crime they committed or go to jail for the crime they committed?
¿Preferirías volver a nacer en una vida totalmente diferente o volver a nacer con todos los conocimientos que tienes ahora?,Would you rather be born again in a totally different life or born again with all the knowledge you have now?
¿Preferirías que todas las teorías de la conspiración fueran ciertas o vivir en un mundo en el que ningún líder sabe realmente lo que está haciendo?,Would you rather all conspiracy theories be true or live in a world where no leaders really know what they are doing?
¿Preferirías conocer todos los misterios del universo o conocer cada resultado de cada elección que haces?,Would you rather know all the mysteries of the universe or know every outcome of every choice you make?
¿Preferirías pasar dos años con tu alma gemela sólo para que muera y no vuelvas a amar o pasar tu vida con alguien agradable con el que te hayas conformado?,Would you rather spend two years with your soul mate only to have them die and you never love again or spend your life with someone nice you settled for?
¿Preferirías que todas las corporaciones conocieran todo el uso que haces de tu ordenador o que el gobierno conociera todo el uso que haces de tu ordenador?,Would you rather have all corporations know all of your computer usage or the government know all of your computer usage?
¿Preferirías heredar 20 millones de dólares cuando cumplas 18 años o pasar el tiempo ganando 50 millones de dólares con tu duro trabajo?,Would you rather inherit 20 million dollars when you turn 18 or spend the time earning 50 million dollars through your hard work?
"¿Prefieres que el público en general piense que eres una persona horrible, pero que tu familia esté muy orgullosa de ti, o que tu familia piense que eres una persona horrible, pero que el público en general esté muy orgulloso de ti?","Would you rather the general public think you are a horrible person, but your family is very proud of you, or your family thinks you are a horrible person, but the general public be very proud of you?"
"¿Preferirías luchar por una causa en la que crees, pero dudas de que vaya a tener éxito, o luchar por una causa en la que sólo crees parcialmente, pero que tiene muchas posibilidades de triunfar?","Would you rather fight for a cause you believe in, but doubt will succeed or fight for a cause that you only partially believe in but have a high chance of your cause succeeding?"
¿Preferirías ser famoso por inventar un arma nueva y mortífera o inventar algo que ayude al mundo pero que otro se lleve todo el mérito por haberlo inventado?,Would you rather be famous for inventing a deadly new weapon or invent something that helps the world but someone else gets all the credit for inventing it?
¿Preferirías vivir en una casa encantada en la que los fantasmas te ignoran y hacen de las suyas o ser un fantasma en una casa que vive una semana agradable y sin incidentes de tu vida una y otra vez?,Would you rather live in a haunted house where the ghosts ignore you and do their own thing or be a ghost in a house living out a pleasant and uneventful week from your life again and again?
"¿Preferirías escribir una novela que será considerada el libro más importante de los últimos 200 años, pero que tú y el libro sólo serán apreciados después de tu muerte, o ser el escritor de erótica más famoso de tu generación?","Would you rather write a novel that will be widely considered the most important book in the past 200 years, but you and the book will only be appreciated after your death or be the most famous erotica writer of your generation?"
"¿Preferirías haber hecho algo terriblemente embarazoso y que sólo lo sepa tu mejor amigo o no haber hecho algo terriblemente embarazoso, pero que todo el mundo, excepto tu mejor amigo, piense que lo hiciste?","Would you rather have done something horribly embarrassing and only your best friend knows or not done something horribly embarrassing, but everyone except your best friend thinks you did it?"
¿Preferirías que tus camisas fueran siempre dos tallas más grandes o una más pequeña?,Would you rather your shirts be always two sizes too big or one size too small?
¿Preferirías encontrar cinco dólares en el suelo o encontrar todos tus calcetines perdidos?,Would you rather find five dollars on the ground or find all your missing socks?
¿Preferirías tener un pezón o dos ombligos?,Would you rather have one nipple or two belly buttons?
¿Prefieres comer un sándwich de ketchup o un sándwich de siracha?,Would you rather eat a ketchup sandwich or a Siracha sandwich?
¿Preferirías utilizar un cortacésped de empuje con una barra demasiado alta o demasiado baja?,Would you rather use a push lawnmower with a bar that is far too high or far too low?
¿Preferirías comer una caja de fideos secos para espaguetis o dos tazas de arroz sin cocer?,Would you rather eat a box of dry spaghetti noodles or two cups of uncooked rice?
¿Preferirías comer una cucharada de wasabi o una cucharada de salsa picante extremadamente picante?,Would you rather eat a spoonful of wasabi or a spoonful of extremely spicy hot sauce?
¿Preferirías tener unas manos que siguieran creciendo con la edad o unos pies que siguieran creciendo con la edad?,Would you rather have hands that kept growing as you got older or feet that kept growing as you got older?
¿Preferirías no poder abrir ninguna puerta cerrada (con o sin llave) o no poder cerrar ninguna puerta abierta?,Would you rather not be able to open any closed doors (locked or unlocked) or not be able to close any open doors?
¿Preferirías que las plantas crecieran a 20 veces su ritmo normal cuando estás cerca o que las personas y los animales dejaran de envejecer cuando estás cerca de ellos?,Would you rather have plants grow at 20 times their normal rate when you are near or for people and animals to stop aging when you are near them?
"¿Preferirías sentir siempre que alguien te sigue, pero nadie lo hace, o sentir siempre que alguien te observa, aunque nadie lo haga?","Would you rather always feel like someone is following you, but no one is, or always feel like someone is watching you, even though no one is?"
¿Preferirías vivir en una casa con paredes transparentes en una ciudad o en la misma casa transparente pero en medio de un bosque alejado de la civilización?,Would you rather live in a house with see-through walls in a city or in the same see-through house but in the middle of a forest far from civilization?
¿Preferirías que todos los gatos o perros que se pierden acaben en tu casa o que la ropa de todos los que se olvidan en la secadora se teletransporte a tu casa?,Would you rather have every cat or dog that gets lost end up at your house or everyone’s clothes that they forget in the dryer get teleported to your house?
¿Preferirías parpadear el doble de lo normal o no poder parpadear durante 5 minutos pero tener que cerrar los ojos durante 10 segundos cada 5 minutos?,Would you rather blink twice the normal rate or not be able to blink for 5 minutes but then have to close your eyes for 10 seconds every 5 minutes?
¿Preferirías que todas las plantas gritasen cuando las cortasen/recogiesen sus frutos o que los animales suplicasen por su vida antes de ser asesinados?,Would you rather all plants scream when you cut them / pick their fruit or animals beg for their lives before they are killed?
¿Preferirías despertarte cada mañana y descubrir que un apéndice animal aleatorio ha sustituido tu brazo no dominante o reemplazar permanentemente tu mitad inferior con un trasero animal de tu elección (no humano)?,Would you rather wake up each morning to find that a random animal appendage has replaced your nondominant arm or permanently replace your bottom half with an animal bottom of your choice (not human)?
¿Preferirías tener un mapa que te muestre la ubicación de cualquier cosa que quieras encontrar y que pueda usarse una y otra vez pero que tenga un margen de error de hasta ocho kilómetros o un dispositivo que te permita encontrar la ubicación de cualquier cosa que quieras con una precisión increíble pero que sólo pueda usarse tres veces?,Would you rather have a map that shows you the location of anything you want to find and can be used again and again but has a margin of error of up to five miles or a device that allows you to find the location of anything you want with incredible accuracy but can only be used three times?
¿Preferirías que todos los animales se sintieran obligados a obedecerte si te acercas a menos de tres metros o tener la oportunidad de diseñar genéticamente una mascota que te sea fiel sólo a ti con el ADN combinado de tres animales?,Would you rather have all animals feel compelled to obey you if you come within 10 feet of them or be given the opportunity to genetically design a pet that will be loyal only to you with the combined DNA of three animals?
¿Prefieres que alguien se haga pasar por ti y haga cosas realmente increíbles de las que te llevas el mérito o que encuentres dinero escondido en lugares extraños por toda tu casa cada día pero que no puedas averiguar de dónde viene el dinero o cómo sigue llegando allí?,Would you rather have someone impersonating you and doing really amazing things that you get the credit for or find money hidden in weird places all around your house every day but you can’t figure out where the money comes from or how it keeps getting there?
¿Preferirías levantarte cada mañana con un nuevo billete de cien dólares en el bolsillo sin saber de dónde viene o levantarte cada mañana con un nuevo billete de cincuenta dólares en el bolsillo y saber de dónde viene?,Would you rather wake up every morning with a new hundred-dollar bill in your pocket but not know where it came from or wake up every morning with a new fifty-dollar bill in your pocket and know where it comes from?
¿Preferirías tener un payaso que sólo tú puedes ver y que te sigue a todas partes y se queda en silencio en un rincón observándote sin hacer ni decir nada o tener un acosador en la vida real que se viste como el conejo de Pascua y que todo el mundo puede ver?,Would you rather have a clown only you can see that follows you everywhere and just stands silently in a corner watching you without doing or saying anything or have a real-life stalker who dresses like the Easter bunny that everyone can see?
¿Preferirías ser un increíble virtuoso de cualquier instrumento pero sólo si tocas desnudo o poder hablar cualquier idioma pero sólo si cierras los ojos y bailas mientras lo haces?,Would you rather be an amazing virtuoso at any instrument but only if you play naked or be able to speak any language but only if you close your eyes and dance while you are doing it?
¿Preferirías que todo lo que sueñas cada noche se hiciera realidad al despertarte o que todo lo que sueña una persona elegida al azar se hiciera realidad al despertar?,Would you rather everything you dream each night come true when you wake up or everything a randomly chosen person dreams each night come true when they wake up?
"¿Preferirías tener un bumerán que encontrara y matara a cualquier persona que tú eligieras, en cualquier parte del mundo, pero que sólo se pudiera usar una vez o un bumerán que siempre volviera a ti con un dólar?","Would you rather have a boomerang that would find and kill any one person of your choosing, anywhere in the world, but can only be used once or a boomerang that always returns to you with one dollar?"
¿Preferirías que alguien te diera LSD en secreto en un día y hora aleatorios una vez cada 6 meses o que todos los habitantes del mundo tomaran LSD al mismo tiempo una vez cada 5 años?,Would you rather have someone secretly give you LSD on a random day and time once every 6 months or have everyone in the world all take LSD at the same time once every 5 years?
¿Preferirías que todos los aparatos eléctricos dejaran de funcionar misteriosamente (posiblemente para siempre) o que los gobiernos del mundo estuvieran dirigidos únicamente por personas que pasan por la pubertad?,Would you rather all electrical devices mysteriously stop working (possibly forever) or the governments of the world are only run by people going through puberty?
