questions_spa,questions_eng
¿La era moderna hace que las conspiraciones globales sean más o menos factibles?,Does the modern age make global conspiracies more or less feasible?
¿Es el avance tecnológico un factor positivo o negativo?,Is technological advancement a net positive or a net negative?
¿Es inevitable el progreso tecnológico mientras exista el ser humano o se puede detener?,Is technological progress inevitable as long as humans exist or can it be stopped?
¿Es posible una verdadera inteligencia artificial con nuestra tecnología y métodos de programación actuales?,Is true artificial intelligence possible with our current technology and methods of programming?
¿Qué avance científico tendría el mayor efecto sobre la humanidad?,What scientific breakthrough would have the biggest effect on humanity?
¿Por qué la tecnología progresó más lentamente en el pasado que ahora?,Why did technology progress more slowly in the past than it does now?
"¿Seguiremos dando saltos hacia avances tecnológicos y científicos aún mayores que cambien radicalmente la sociedad, o el ritmo de avance será más lento y el progreso de la humanidad se limitará a mejoras graduales?","Will we keep leaping to even greater technological and scientific breakthroughs that radically change society, or will the rate of progress slow and humanity’s progress be limited to incremental improvements?"
"Si existiera una industria de ingeniería genética sólida y barata, ¿se haría editar sus genes? En caso afirmativo, ¿qué cambios genéticos elegiría hacer? Si no, ¿por qué no?","If a robust and cheap genetic engineering industry existed, would you have your genes edited? If so, what genetic changes would you choose to make? If not, why not?"
"Supongamos que en el futuro se produzcan grandes saltos en la mejora de los seres humanos. Teniendo en cuenta una escala que va desde lo completamente humano a lo completamente maquinal, ¿hasta qué punto elegirías aumentarte a ti mismo con la robótica? ¿Qué partes aumentarías y por qué?","Assume that in the future there will be huge leaps in human augmentation. Given a scale from completely human to completely machine, how far would you choose to augment yourself with robotics? What parts would you augment and why?"
"Si existieran los transportadores de Star Trek y los utilizaras, tus partículas se desmontarían y volverían a montarse, ¿morirías cada vez? ¿Alguna vez estás vivo en dos lugares a la vez? ¿Alguna vez estás completamente muerto?","If the transporters in Star Trek existed and you used it, your particles would be disassembled and then reassembled, do you die every single time? Are you ever alive at two places at once? Are you ever completely dead?"
¿Debería ser el pleno acceso a Internet un derecho humano fundamental?,Should full access to the internet be a fundamental human right?
¿La invención de la bomba atómica ha hecho del mundo un lugar más pacífico?,Has the invention of the atomic bomb made the world a more peaceful place?
"¿Cree que se producirá la singularidad? Si es así, ¿en qué plazo cree que ocurrirá?","Do you think the singularity will occur? If so, what time frame do you think it will happen in?"
"Si las emociones son el producto de reacciones bioquímicas, en el futuro seremos teóricamente capaces de controlarlas. Si pudiéramos controlar las emociones mediante la tecnología, ¿deberíamos hacerlo?","If emotions are the product of biochemical reactions, then in the future we will be theoretically able to control them. If we could control emotions through technology, should we?"
¿Existe un límite a lo que el ser humano puede crear mediante la tecnología y la ciencia?,Is there a limit to what humans can create through technology and science?
