questions_spa,questions_eng
Debes enviar un mensaje de texto de 160 caracteres. ¿Qué escribirías? Debes tener en cuenta que todo el mundo lo verá.,"You must send a text message of 160 characters, what would you write? You must keep in mind that everyone will see it."
"Si pudieras colonizar otro planeta, ¿qué preferirías: quedarte en ese lugar o volver a la Tierra?","If you could colonize another planet, which would you prefer: stay there or return to Earth?"
"Si fueras un villano de una caricatura de los años 90, ¿dónde pondrías tu escondite y cómo sería? ¿Cómo crees que serían los uniformes de tus secuaces?","If you were a villain from a 1990s cartoon, where would you put your hideout and what would it look like? What do you think your minions' uniforms would look like?"
"Si fueras el rey o la reina de una civilización antigua, ¿cómo te gustaría que fuera tu tumba?","If you were the king or queen of an ancient civilization, what would you like your tomb to look like?"
"Si pudieras llamar durante veinte minutos a tu versión de quince años, ¿qué le dirías?","If you could call your fifteen-year-old version of yourself for twenty minutes, what would you say to him or her?"
"Si pudieras elegir la próxima tendencia falsa relacionada con la salud, ¿qué crearías?","If you could pick the next fake health-related trend, what would you create?"
Todos creen que serían parte de la realeza o serían caballeros en la Edad Media… pero seamos honestos: es probable que no lo sean. ¿Qué clase de plebeyo crees que serías si nacieras en esa época?,Everyone thinks they'd be part of royalty or be a knight in the Middle Ages...but let's be honest: they probably wouldn't be. What kind of commoner do you think you'd be if you were born in that era?
"Si fueras un transformer, ¿en qué vehículo te convertirías?","If you were a Transformer, what vehicle would you become?"
¿Qué clase de película o programa de televisión te gustaría crear si el dinero o las habilidades no fueran un impedimento?,What kind of movie or TV show would you like to create if money or skills were no object?
¿Qué parque de diversiones te gustaría que existiera?,What amusement park would you like to see exist?
¿Qué personaje de caricatura se vería terrorífico si existiera en la vida real?,What cartoon character would look terrifying if it existed in real life?
¿Qué animal se vería lindo si fuera del tamaño de un chihuahua?,What animal would look cute if it were the size of a Chihuahua?
"Si pudieras implantar un recuerdo falso en la mente de todos los ciudadanos de tu país, ¿qué implantarías?","If you could implant a false memory in the minds of all the citizens of your country, what would you implant?"
"Si pudieras convertir una cosa ilegal a legal, y otra cosa legal a ilegal, ¿qué cambiarías?","If you could turn one thing illegal to legal, and another thing legal to illegal, what would you change?"
"Si pudieras incluir una nueva palabra en el diccionario, ¿qué sería y cuál sería su definición?","If you could include a new word in the dictionary, what would it be and what would be its definition?"
"Si recibieras la pena de muerte y tuvieras que elegir la forma en que serás ejecutado, ¿cómo te gustaría morir?","If you received the death penalty and had to choose how you would be executed, how would you like to die?"
"Si tuvieras las habilidades y capacidades para jugar profesionalmente un deporte, ¿qué elegirías?","If you had the skills and abilities to play a sport professionally, what would you choose?"
"Si todos los humanos tuvieran piel y músculos transparentes, y pudiéramos ver cómo funcionan nuestros órganos, ¿qué crees que sucedería?","If all humans had transparent skin and muscles, and we could see how our organs worked, what do you think would happen?"
"Si tuvieras un símbolo o escudo que te representara, ¿cómo sería?","If you had a symbol or shield to represent you, what would it look like?"
"Si tuvieras que sufrir algún desastre natural, ¿cuál elegirías?","If you had to suffer a natural disaster, which one would you choose?"
¿Te gustaría conocer tu futuro si tuvieras que olvidar tu pasado?,Would you like to know your future if you had to forget your past?
"Si tuvieras que unirte al circo, ¿qué espectáculo te gustaría hacer?","If you had to join the circus, what show would you like to perform?"
"Si pudieras vivir bajo un régimen de gobierno diferente, ¿qué gobierno elegirías? (No elijas esta pregunta si tú o tus amigos tienen opiniones políticas muy fuertes.)","If you could live under a different government regime, which government would you choose? (Do not choose this question if you or your friends have very strong political opinions)."
"Si te dieran la oportunidad de crear tu propio negocio, ¿qué negocio crearías?","If you were given the opportunity to create your own business, what business would you create?"
"Si pudieras controlar tus sueños, ¿qué te gustaría soñar?","If you could control your dreams, what would you like to dream?"
¿Qué harías si te enteraras que una cucharada de tus lágrimas puede curar el cáncer de una sola persona?,What would you do if you found out that a tablespoon of your tears could cure cancer in just one person?
Tienes el superpoder de inyectar fobias a las personas. ¿A qué cosas divertidas e interesantes les harías temer?,You have the superpower to inject people with phobias - what fun and interesting things would you make them afraid of?
"Si pudieras vivir otros 100 años, pero tuvieras que ser viejo y frágil durante todo ese tiempo, ¿te gustaría seguir viviendo?","If you could live another 100 years, but had to be old and frail for that long, would you want to keep living?"
"Si pudieras remodelar alguna habitación de tu hogar, ¿qué habitación elegirías y qué harías para mejorarla?","If you could remodel any room in your home, what room would you choose and what would you do to improve it?"
"Si los extraterrestres nos invadieran y pusieran a los humanos en zoológicos, ¿qué te gustaría que hubiera en tu celda?","If aliens invaded us and put humans in zoos, what would you want in your cell?"
"Si pudieras viajar a cualquier parte del mundo, ¿qué lugar visitarías y por qué?","If you could travel anywhere in the world, what place would you visit and why?"
"Si pudieras mezclar dos juegos y hacer uno nuevo, ¿qué juegos elegirías y cuál crees que sería el resultado?","If you could mix two games and make a new one, what games would you choose and what do you think the result would be?"
"Si el juego de las “escondidas” fuera un deporte olímpico, ¿cómo crees que sería?","If the game of ""hide and seek"" were an Olympic sport, what do you think it would be like?"
"Si pudieras cambiar lo que dice la gente después de escuchar que alguien estornuda, ¿Qué crees que sería lo más divertido que pudieran decir?","If you could change what people say after they hear someone sneeze, what do you think would be the funniest thing they could say?"
"Si pudieras diseñar un uniforme no convencional de algún escuadrón militar, ¿cómo crees que sería? Usa tu imaginación.","If you could design an unconventional uniform for a military squadron, what do you think it would look like? Use your imagination."
"Si tus manos estuvieran congeladas en una posición o gesto, ¿qué posición elegirías?","If your hands were frozen in a position or gesture, what position would you choose?"
"Si pudieras hacer algunas tareas sencillas mientras estás dormido, ¿qué te gustaría hacer?","If you could do some simple tasks while you were asleep, what would you like to do?"
"Si los Jedi fueran reales y tuvieras que deshacerte de todas tus pertenencias y nunca tener una relación romántica para pertenecer a ellos, ¿te convertirías en un Jedi?","If the Jedi were real and you had to get rid of all your belongings and never have a romantic relationship to belong to them, would you become a Jedi?"
"Si adquirieras repentinamente los conocimientos y capacidades de un hacker de clase mundial, ¿qué harías?","If you suddenly acquired the knowledge and capabilities of a world-class hacker, what would you do?"
"Si pudieras hablar dos idiomas (que no conozcas) con fluidez, ¿qué idiomas elegirías?","If you could speak two languages (that you don't know) fluently, which languages would you choose?"
"Si ganaras la lotería, ¿qué crees que NO cambiaría?","If you won the lottery, what do you think you would NOT change?"
"Si pudieras traer de vuelta alguna serie de televisión que haya sido cancelada, ¿cuál elegirías?","If you could bring back any TV series that has been cancelled, which one would you choose?"
"Si tuvieras que comprobar por mensaje de texto que eres humano y no un robot, ¿cómo lo harías?","If you had to prove by text message that you were human and not a robot, how would you do it?"
"Si pudieras viajar en el tiempo y evitar que alguien invente algo, ¿qué invento eliminarías?","If you could travel back in time and stop someone from inventing something, what invention would you eliminate?"
"Si pudieras descubrir la verdad que hay detrás de un secreto o misterio, ¿Cuál elegirías?","If you could discover the truth behind a secret or mystery, which one would you choose?"
"Si pudieras volver a nombrar cinco animales, ¿qué animales elegirías, y cuáles serían sus nuevos nombres?","If you could rename five animals, which animals would you choose, and what would their new names be?"
"Si tuvieras una cantidad infinita de LEGOs, y no pudieras venderlos, ¿qué construirías?","If you had an infinite amount of LEGOs, and you couldn't sell them, what would you build?"
"Si tu salario se duplicara, ¿qué harías con ese dinero extra?","If your salary doubled, what would you do with that extra money?"
"Si te enteraras que vas a morir en una semana, ¿qué harías con el tiempo que te queda?","If you found out you were going to die in a week, what would you do with the time you had left?"
"Si todos los animales fueran tan inteligentes como los humanos, y tuvieran la capacidad de hablar, ¿qué trabajos crees que harían?","If all animals were as intelligent as humans, and had the ability to talk, what jobs do you think they would do?"
"Si pudieras intercambiar el sabor de dos comidas, ¿qué comidas elegirías?","If you could interchange the taste of two foods, which foods would you choose?"
"Si pudieras elegir un método de transporte (sin importar lo ridículo que sea) para conocer la ciudad, ¿cuál elegirías?","If you could choose one method of transportation (no matter how ridiculous) to get around town, which one would you choose?"
"Asumiendo que te gusta el mar, ¿cómo crees que sería tu bote o yate ideal, y cómo lo nombrarías?","Assuming you love the sea, what do you think your ideal boat or yacht would look like, and what would you name it?"
¿Cómo cambiaría el mundo si los mamíferos (incluyendo humanos) pusieran huevos en vez de parir?,How would the world change if mammals (including humans) laid eggs instead of giving birth?
"Si te dieran la tarea de hacer la escuela más divertida y efectiva para los estudiantes, ¿qué cambios harías?","If you were given the task of making school more fun and effective for students, what changes would you make?"
"Si pudieras crear un medicamento que curara una sola enfermedad, ¿qué curarías milagrosamente?","If you could create a drug that would cure a single disease, what would you miraculously cure?"
"Si pudieras nacer de nuevo en otro país, con otra raza, y otro género, ¿cómo crees que serías?","If you could be born again in another country, with another race, and another gender, what do you think you would be like?"
¿A qué criatura fantástica te gustaría traer a la vida real?,What fantasy creature would you like to bring into real life?
"Si pudieras contratar a un mayordomo o una sirvienta, ¿lo harías?","If you could hire a butler or maid, would you?"
"Si perdieras la audición, ¿qué sonido crees que extrañarías más?","If you lost your hearing, what sound do you think you would miss the most?"
"Si pudieras diseñar y darle vida a un nuevo animal, ¿cómo sería?","If you could design and bring to life a new animal, what would it look like?"
"Si pudieras saber cuándo y cómo morirá una persona con tan solo tocar sus manos, ¿cómo crees que usarías ese poder? Debes tener en cuenta que no puedes cambiar su destino.","If you could know when and how a person will die just by touching their hands, how do you think you would use that power? You must keep in mind that you cannot change their destiny."
"Si pudieras unir dos países de manera harmoniosa, ¿qué países elegirías?","If you could unite two countries harmoniously, which countries would you choose?"
"Si pudieras viajar en el tiempo y deshacer algo que hiciste, ¿qué cambiarías?","If you could travel back in time and undo something you did, what would you change?"
"Si tuvieras todo el dinero del mundo y pudieras hacer una fiesta, ¿qué clase de fiesta harías?","If you had all the money in the world and could throw a party, what kind of party would you throw?"
"Si pudieras hacer comestible alguna cosa no comestible para los humanos, ¿qué cosa elegirías?","If you could make something inedible for humans edible, what would you choose?"
"Si te dieran la oportunidad de nacer en otra época, ¿en qué tiempo te gustaría nacer?","If you were given the chance to be born in another time, what time would you want to be born in?"
"Si los androides fueran reales, ¿cómo crees que la gente los trataría?","If androids were real, how do you think people would treat them?"
"Si tuvieras un montón de plastilina y cualquier cosa moldeada por ti cobrara vida, ¿para qué la usarías?","If you had a pile of play dough and anything molded by you came to life, what would you use it for?"
"Si pudieras controlar un aspecto corporal que usualmente se autorregula (ej., temperatura corporal, digestión, ritmo cardiaco, etc.), ¿qué sistema controlarías?","If you could control a bodily aspect that is usually self-regulating (e.g., body temperature, digestion, heart rate, etc.), what system would you control?"
"Si fueras un luchador profesional de la WWE, ¿cuál sería tu nombre e identidad?","If you were a professional WWE wrestler, what would your name and identity be?"
¿Qué harías si tuvieras una verdadera bolsa de contención (para introducir objetos grandes en una bolsa pequeña)?,What would you do if you had a real bag of holding (to fit large objects into a small bag)?
"Si pudieras crear una marca de cerveza, vino, refresco, o bebida, ¿qué harías, cómo la llamarías, y cómo se diferenciaría tu marca?","If you could create a brand of beer, wine, soft drink, or beverage, what would you do, what would you call it, and how would your brand be differentiated?"
"Si pudieras hacer que una persona de cada país trabajara en un solo proyecto o hacia un solo objetivo, ¿cuál sería?","If you could have one person from each country work on a single project or toward a single goal, what would it be?"
"Si pudieras diseñar un nuevo día festivo, ¿qué crearías y qué tradiciones tendría?","If you could design a new holiday, what would you create and what traditions would it have?"
"Si pudieras hablar cuatro idiomas con fluidez, ¿qué idiomas elegirías?","If you could speak four languages fluently, which languages would you choose?"
"Si pudieras conocer el historial de Internet de una persona, ¿a quién elegirías?","If you could know a person's Internet history, who would you choose?"
"Si pudieras volver a diseñar la especie humana, ¿qué partes añadirías o quitarías?","If you could redesign the human species, what parts would you add or remove?"
"Si pudieras volverte tres veces más grande o cincuenta veces más pequeño a voluntad, ¿cómo crees que pasarías más tiempo: siendo grande o pequeño? ¿Por qué?","If you could make yourself three times bigger or fifty times smaller at will, how do you think you would spend more time: being big or small? Why?"
"Si pudieras conducir cualquier vehículo durante un par de horas, ¿qué vehículo elegirías?","If you could drive any vehicle for a couple of hours, which vehicle would you choose?"
"Si tuvieras una pluma con tinta mágica, ¿qué crees que pasaría al escribir algo?","If you had a pen with magic ink, what do you think would happen when you wrote something?"
"Si te dieran la oportunidad de ser amigo de alguna persona, ¿a quién elegirías? Piensa en grande.","If you were given the opportunity to be friends with any person, who would you choose? Think big."
"Si pudieras ser un personaje no jugador (NPC) de algún videojuego, ¿en qué juego te gustaría vivir?","If you could be a non-player character (NPC) in any video game, what game would you want to live in?"
¿Por qué te gustan las bandas que te gustan?,Why do you like the bands you like?
¿Cuál fue tu peor experiencia de viaje?,What was your worst travel experience?
¿Cuál fue el encuentro casual más importante que has tenido?,What was the most important chance encounter you have ever had?
¿Cuál es el proceso a seguir para preparar tu plato favorito?,What is the process to follow to prepare your favorite dish?
¿Cuál es la vida que vale la pena ser vivida?,What is the life worth living?
¿Cómo te afectó como persona el hecho de ir a la escuela?,How did going to school affect you as a person?
¿Qué tan importante crees que es la superación personal?,How important do you think self-improvement is?
¿Cómo será la guerra en el futuro?,What will war be like in the future?
¿Qué estrategias usas para tomar decisiones importantes?,What strategies do you use to make important decisions?
¿Qué planes tienes para el futuro?,What plans do you have for the future?
¿Cómo le explicarías la idea de justicia a un extraterrestre?,How would you explain the idea of justice to an alien?
¿Por qué la felicidad parece algo fácil para algunos pero no para otros?,Why does happiness seem easy for some people but not for others?
¿Qué políticas podría implementar el gobierno para mejorar la salud de las personas?,What policies could the government implement to improve people's health?
¿Cuál ha sido el sueño más aterrador que has tenido?,What has been the scariest dream you've ever had?
¿Qué trucos para tu vida diaria has descubierto que sean particularmente efectivos?,What tricks for your daily life have you discovered that are particularly effective?
"¿Si pudieras diseñar un reality show, cómo sería?","If you could design a reality show, what would it be like?"
"¿Qué combinaciones de sabores te gustan, y por qué crees que saben tan bien?","What flavor combinations do you like, and why do you think they taste so good?"
¿Por qué se ríen las personas?,Why do people laugh?
¿Cómo han cambiado los estándares de belleza a lo largo de tu vida?,How have beauty standards changed over your lifetime?
¿Cuál es tu mejor historia laboral o escolar?,What is your best work or school story?
¿Cuál es la imagen más relajante que puedes evocar en tu mente?,What is the most relaxing image you can conjure up in your mind?
¿Por qué algunas palabras nos suenan extrañas?,Why do some words sound strange to us?
¿Qué es lo mejor y lo peor de tu restaurante favorito?,What is the best and worst thing about your favorite restaurant?
¿Cómo cambiaría tu país si se les permitiera votar a los niños?,How would your country change if children were allowed to vote?
¿Qué experimentos te gustaría realizar si el tiempo y el dinero no fueran un problema?,What experiments would you like to do if time and money were no object?
¿Cómo cambiaría el mundo si algunas personas tuvieran poderes mágicos y otras no?,How would the world change if some people had magical powers and others didn't?
¿Cómo podría hacer mejor su trabajo tu jefe o profesor?,How could your boss or teacher do his or her job better?
¿Por qué es tan difícil aprender de nuestros errores?,Why is it so hard to learn from our mistakes?
¿Cuál es el razonamiento detrás de tu opinión más controversial o polémica?,What is the reasoning behind your most controversial or controversial opinion?
¿Cómo sueles celebrar algunas de las festividades más populares?,How do you usually celebrate some of the most popular holidays?
¿Qué valiosas lecciones deberíamos aprender de la historia?,What valuable lessons should we learn from history?
¿Cómo la fotografía ha cambiado el mundo?,How has photography changed the world?
¿En qué difieren tus valores de los valores de los otros?,How do your values differ from the values of others?
¿Por qué los seres humanos construyen estructuras monumentales?,Why do humans build monumental structures?
¿En qué te gustaría que tu país cambiara?,How would you like your country to change?
¿Qué idea conspirativa totalmente infundada te gustaría empezar?,What totally unfounded conspiracy idea would you like to start?
¿Qué cosas cambiarías de las Olimpiadas para hacerlas aún más emocionantes?,What things would you change about the Olympics to make them even more exciting?
¿Cómo te afectaron los momentos más importantes de tu infancia?,How did the highlights of your childhood affect you?
¿Qué situaciones sociales te aterran?,What social situations terrify you?
¿Cómo ha influido el café en el curso de la historia de la humanidad?,How has coffee influenced the course of human history?
¿Cuál es tu rutina en un día promedio de la semana?,What is your routine on an average weekday?
¿Que hacen bien y que hacen mal los medios de comunicación en su servicio al público?,What does the media do right and wrong in its service to the public?
¿Qué ocurrió en el video de YouTube más gracioso que has visto?,What happened in the funniest YouTube video you've ever seen?
"¿Por qué algunas personas prefieren a los gatos, otras a los  perros y a otras ninguno?","Why do some people prefer cats, some prefer dogs, and some prefer neither?"
¿Cuál es la historia detrás  de cómo conociste a tu mejor amigo(a)?,What is the story behind how you met your best friend?
¿Cuándo la investigación científica deja de ser ética?,When does scientific research stop being ethical?
¿Qué sucedería durante el mejor día que puedas imaginar?,What would happen during the best day you can imagine?
¿Que hace que una canción sea pegajosa?,What makes a song catchy?
¿Cuál es el peor error de trabajo que has cometido?,What's the worst work mistake you've ever made?
¿Cómo luciría tu casa perfecta?,What would your perfect house look like?
¿Qué preguntas puedes hacer para conocer mejor a una persona?,What questions can you ask to get to know a person better?
¿Por qué a las personas les gusta ver películas que les asustan o que los hacen sentir tristes?,Why do people like to watch movies that scare them or make them feel sad?
¿Qué hace que tu lugar favorito sea mejor que cualquier otro lugar que has visitado?,What makes your favorite place better than any other place you've visited?
¿Cómo sería tu mundo utópico?,What would your utopian world be like?
¿Cómo te prepararías para un apocalipsis zombie?,How would you prepare for a zombie apocalypse?
¿Cómo crees que la ingeniería genética cambiará al mundo en el futuro?,How do you think genetic engineering will change the world in the future?
¿Cuál es la trama de tu libro o película favorita?,What is the plot of your favorite book or movie?
¿Cómo deberían los gobiernos solucionar las brechas económicas que se siguen ensanchando en los países que las tienen?,How should governments address the economic gaps that continue to widen in countries that have them?
¿Por qué son divertidos los juegos?,Why are games fun?
¿En qué ocasión  ser cortés y tener buenos modales te metió en un problema?,On what occasion did being polite and having good manners get you into trouble?
¿Cuáles serían tus vacaciones perfectas?,What would be your perfect vacation?
¿Cómo cambiaría la sociedad si descubrieramos que los fantasmas realmente existen?,How would society change if we discovered that ghosts really exist?
¿Qué es el arte?,What is art?
¿Qué efecto tendría que el internet se detuviera?,What effect would it have if the internet stopped?
¿Cómo te empezaron a gustar los pasatiempos que disfrutas?,How did you get into the hobbies you enjoy?
¿Cuál es tu recuerdo favorito ligado a una festividad?,What is your favorite holiday-related memory?
¿Qué admiras de tus héroes?,What do you admire about your heroes?
¿Cómo sería tu pareja ideal?,What would your ideal partner be like?
¿Cómo sería el mundo si de repente todo el mundo pudiera leer los pensamientos de los otros?,What would the world be like if suddenly everyone could read each other's thoughts?
"¿Cuál es el tema, sitio o cosa de internet más rara con la que te has obsesionado?","What is the weirdest internet topic, site or thing you've ever obsessed over?"
¿Cuáles son las condiciones necesarias para que se considere que algo está vivo?,What are the conditions necessary for something to be considered alive?
¿Cómo funciona el motor de un automóvil?,How does a car engine work?
¿De qué manera piensas que se diferencia tu generación de la anterior?,In what ways do you think your generation differs from the previous one?
"Si tuvieras recursos ilimitados,  ¿Cómo harías del mundo un lugar mejor?","If you had unlimited resources, how would you make the world a better place?"
¿Qué cosas tendría un parque para niños hecho para adultos?,What things would a children's playground made for adults have?
¿Cómo sería tu “lugar feliz”?,"What would your ""happy place"" be like?"
¿Cuáles serían las mayores ventajas y desventajas que tendrían los seres humanos sí colonizaran un planeta diferente?,What would be the biggest advantages and disadvantages humans would have if they colonized a different planet?
¿Por qué los seres humanos  se sienten tan impulsados a dar respuestas a los misterios?,Why are humans so driven to provide answers to mysteries?
¿Cuál es la historia de fracaso criminal más divertida que has escuchado?,What's the funniest criminal failure story you've ever heard?
"Si tuvieras $200,000 para gastar en una fiesta, ¿Cómo los gastarías?","If you had $200,000 to spend on a party, how would you spend it?"
¿Cómo cambiarán los celulares en el futuro?,How will cell phones change in the future?
"Si tuvieras suficiente dinero como para nunca tener que trabajar, ¿Cómo sería un día típico en tu vida?","If you had enough money to never have to work, what would a typical day in your life be like?"
¿Cómo podría la humanidad colonizar otros planetas?,How could humanity colonize other planets?
¿Cómo crees que serán los programas de televisión dentro de 30 años?,What do you think TV shows will be like in 30 years?
¿Cómo se vería un automóvil especialmente diseñado para ti?,What would a car specially designed for you look like?
¿Qué te hace ser quien eres?,What makes you who you are?
¿Cuál es la historia real más divertida que has escuchado?,What's the funniest true story you've ever heard?
¿Cómo manejarías la incorporación a la sociedad de alguien que ha estado congelado durante 100 años?,How would you handle the incorporation into society of someone who has been frozen for 100 years?
¿Por qué crees que a los humanos les parecen adorables los animales bebés?,Why do you think humans find baby animals adorable?
¿De qué forma los momentos históricos más significativos de tu país cambiaron el tejido de la sociedad?,In what ways did your country's most significant historical moments change the fabric of society?
¿De qué manera te saboteas a ti mismo?,In what ways do you sabotage yourself?
¿Cómo podría tu gobierno local mejorar tu pueblo o ciudad?,How could your local government improve your town or city?
¿Por qué las teorías conspirativas atraen a tanta gente?,Why do conspiracy theories appeal to so many people?
¿Qué hace que te guste o te disguste una persona?,What makes you like or dislike a person?
¿Cuáles son algunas de las limitaciones del capitalismo?,What are some of the limitations of capitalism?
¿Cómo sería el mejor parque de diversiones del mundo?,What would the best amusement park in the world look like?
¿Cuáles son algunas de las normas no escritas de la sociedad?,What are some of the unwritten rules of society?
¿Cómo reaccionan tu mente y tu cuerpo frente al estrés?,How do your mind and body react to stress?
¿Cuáles son tus 3 reglas principales para ir por la vida?,What are your top 3 rules for getting through life?
¿Qué hace que tu recuerdo favorito te venga a la mente?,What brings your favorite memory to mind?
¿Qué cosa hace que te sientas motivado?,What makes you feel motivated?
¿Qué hace que la vida valga la pena y qué la hace buena?,What makes life worthwhile and what makes it good?
¿Qué riesgos vale la pena correr?,What risks are worth taking?
¿Qué cosas das por sentado?,What things do you take for granted?
¿Quién te inspira a ser mejor?,Who inspires you to be better?
¿De qué tienes dudas?,What do you have doubts about?
¿Cuándo te sientes realmente “vivo”?,"When do you really feel ""alive""?"
¿A qué hecho te has resignado?,What have you resigned yourself to?
¿Qué es lo mejor acerca de ti?,What is the best thing about you?
¿Cómo sería una versión opuesta de ti mismo?,What would an opposite version of yourself look like?
¿Qué miedo irracional tienes?,What irrational fear do you have?
¿Cuál sería tu espíritu animal?,What would be your spirit animal?
¿Cuál sería el monstruo más aterrador que podrías imaginar?,What would be the scariest monster you could imagine?
¿Cuál es la lección más dura que has aprendido?,What is the hardest lesson you have learned?
¿Qué cosa de ti te hace sentir acomplejado o te avergüenza?,What is something about you that makes you feel self-conscious or embarrassed?
¿Cuáles son algunos de tus olores favoritos?,What are some of your favourite smells?
¿Alguna vez has donado a una caridad?,Have you ever donated to a charity?
¿Cuál fue la última aventura que tuviste o a la que fuiste?,What was the last adventure you had or went on?
¿Cuáles son tres datos interesantes sobre ti?,What are three interesting facts about yourself?
¿Cuál es el mejor cumplido que has recibido?,What is the best compliment you have ever received?
¿Qué encuentro fortuito cambió tu vida para siempre?,What chance encounter changed your life forever?
¿Cuál quieres que sea tu epitafio?,What do you want your epitaph to be?
"¿En qué eres realmente bueno, pero te avergüenzas de serlo?","What are you really good at, but ashamed to be?"
¿Cuál es el “Santo Grial” de tu vida?,"What is the ""Holy Grail"" of your life?"
¿Qué es lo que más te gusta de tu familia?,What do you love most about your family?
¿Qué es lo que la gente piensa que es raro en ti?,What do people think is weird about you?
¿Cuál es una opinión controvertida que tienes?,What is one controversial opinion you have?
¿Quién en tu vida te trae más alegría?,Who in your life brings you the most joy?
¿Quién tuvo el mayor impacto en la persona en la que te has convertido?,Who had the biggest impact on the person you have become?
¿Qué cosa NUNCA volverías a hacer?,What is one thing you would NEVER do again?
¿Quién es/era tu amigo(a) más interesante?,Who is/was your most interesting friend?
¿En qué es lo más probable que te equivoques o estés equivocado(a)?,What are you most likely to be wrong or mistaken about?
¿Qué es lo más inmaduro que sueles hacer?,What is the most immature thing you usually do?
¿Qué estereotipo te identifica a cabalidad?,What stereotype do you most identify with?
¿Cuál es la mayor lección que NUNCA terminaste de aprender?,What is the biggest lesson you have NEVER finished learning?
¿Qué logro tonto o insignificante te hace sentir más orgulloso?,What silly or insignificant achievement makes you most proud?
¿Cuál ha sido el mejor regalo que has recibido?,What was the best gift you ever received?
¿En qué capítulos estaría separada tu autobiografía?,What chapters would your autobiography be separated into?
¿Cuáles esperas que sean tus últimas palabras?,What do you hope your last words will be?
¿En qué es lo que piensas más?,What do you think about most?
¿Qué cosa parece que nunca puedes terminar?,What one thing can you never seem to finish?
¿Qué error sigues cometiendo una y otra vez?,What mistake do you keep making over and over again?
¿Qué es lo mejor que obtuviste de tus padres?,What is the best thing you got from your parents?
¿Qué es lo más extraño con lo que te has tropezado o encontrado en tu vida?,What is the strangest thing you have ever stumbled upon or encountered in your life?
¿¿Qué es lo mejor y lo peor de envejecer?,What is the best and the worst thing about growing old?
¿Qué es algo que estás seguro de que nunca experimentarás?,What is something you are sure you will never experience?
¿En qué cosa desafiante estás trabajando durante estos días?,What is one challenging thing you are working on these days?
¿Cuál es una responsabilidad que realmente desearías no tener?,What is one responsibility you really wish you didn't have?
¿Qué desearías que tu cerebro hiciera mejor?,What do you wish your brain did better?
"Si tu infancia tuviera un olor, ¿cuál sería?","If your childhood had a smell, what would it be?"
"En tu grupo de amigos, ¿cuál es tu rol?","In your group of friends, what is your role?"
¿Cuál de tus cicatrices tiene la mejor historia detrás de ella?,Which of your scars has the best story behind it?
¿Qué cosa has creado o construido de la cual te sientes muy orgulloso?,What one thing have you created or built that you are most proud of?
¿Qué cosa sospechas con fuerza que es el caso pero no tienes pruebas para demostrarlo?,What do you strongly suspect is the case but have no evidence to prove it?
¿Cuáles fueron algunos de los puntos de inflexión en tu vida?,What were some of the turning points in your life?
¿Qué hace explotar tu cabeza cada vez que piensas en ello?,What makes your head explode every time you think about it?
¿Cuál es el título del capítulo de tu vida en el que te encuentras ahora?,What is the title of the chapter of your life you are in now?
"Dentro de tus amigos o familia, ¿eres famoso por qué cosa?","Among your friends or family, what are you famous for?"
¿Qué es algo que tus amigos no podrían creer que cierto acerca de ti?,What is something that your friends could not believe to be true about you?
¿Qué es algo horrible que todo el mundo debería probar al menos una vez?,What is something horrible that everyone should try at least once?
"Si tuvieras una bandera personal, ¿qué habría en ella?","If you had a personal flag, what would be on it?"
"Si tu vida fuera un libro, ¿cuál sería el título?","If your life were a book, what would the title be?"
"Si fueras el último ser humano sobre la faz tierra, ¿qué harías?","If you were the last human being on the face of the earth, what would you do?"
¿Qué datos o estadísticas sobre tu vida te gustaría poder ver?,What facts or statistics about your life would you like to be able to see?
¿Qué cosa pensaste que olvidarías o que ya no harías cuando crecieras pero no pasó?,What did you think you would forget or not do when you grew up but didn't?
¿Cuáles son tres de los números más significativos de tu vida?,What are three of the most significant numbers in your life?
¿Cuáles son algunas de tus “reglas” personales que nunca rompes?,"What are some of your personal ""rules"" that you never break?"
¿Cuál es el mejor y el peor consejo que has recibido?,What is the best and the worst advice you have ever received?
¿Qué es lo que más te molesta de los grupos afines de los que formas parte?,What bothers you most about the affinity groups you are part of?
¿Qué pequeño gesto de un extraño te ha impactado más?,What small gesture from a stranger has had the biggest impact on you?
¿Qué te arrepientes de no haber hecho o empezado cuando eras más joven?,What do you regret not having done or started when you were younger?
¿Cuál es la cosa más tonta que has hecho pero que al final ha salido bastante bien?,What's the silliest thing you've done that turned out pretty well in the end?
"Cuando la gente te mira, ¿qué crees que ven/piensan?","When people look at you, what do you think they see/think?"
"¿Qué es lo que no puedes hacer bien, no importa cuántas veces lo intentes?","What is one thing you can't do well, no matter how many times you try?"
¿Qué pregunta puedes hacer para saber más sobre una persona?,What question can you ask to find out more about a person?
"A medida que envejeces, ¿a qué le temes cada vez más?","As you get older, what are you increasingly afraid of?"
¿Qué cambio de estilo de vida has querido hacer desde hace tiempo?,What lifestyle change have you wanted to make for a long time?
¿En qué situación o lugar te sientes más incómodo o fuera de sitio?,In what situation or place do you feel most uncomfortable or out of place?
Hay dos tipos de personas en este mundo. ¿Cuáles son los dos tipos?,"There are two types of people in this world, what are the two types?"
¿Qué rasgo de personalidad valoras más y cuál es el que más te disgusta?,Which personality trait do you value the most and which do you dislike the most?
